1,Han Monsturrrz,75.26,Deadskins,49.86
2,Han Monsturrrz,56.63,Kellen Knievel,80.21
3,Han Monsturrrz,73.44,Rurumon,71.87
4,Han Monsturrrz,55.67,Iggles,91.88
5,Han Monsturrrz,94.27,blitzburgh steelers,48.58
6,Han Monsturrrz,80.84,1-800-You-Wish,87.15
7,Han Monsturrrz,92.32,imdrunkrightnow,59.17
8,Han Monsturrrz,68.59,Dancing Gorillas,57.02
9,Han Monsturrrz,62.39,Ice Men,55.67
10,Han Monsturrrz,44.94,Joe's Cameltoes,30.76
11,Han Monsturrrz,62.46,Team Carlin,73.03
12,Han Monsturrrz,58.95,The Cheats,84.51
13,Han Monsturrrz,51.4,Corner Meal Plan,48.94
14,Han Monsturrrz,50.47,Team Carlin,87.99
15,Han Monsturrrz,64.31,1-800-You-Wish,42.48
16,Han Monsturrrz,47.51,The Cheats,81.95
2,Deadskins,81.93,Bootleg 4 Live Draft,44.43
3,Deadskins,101.64,Kellen Knievel,85.29
4,Deadskins,50.74,Rurumon,52.76
5,Deadskins,75.87,Iggles,47.52
6,Deadskins,99.1,blitzburgh steelers,90.15
7,Deadskins,83.49,1-800-You-Wish,94.94
8,Deadskins,45.08,imdrunkrightnow,59.1
9,Deadskins,60.35,Dancing Gorillas,65.69
10,Deadskins,82.65,Ice Men,82.63
11,Deadskins,52.66,Joe's Cameltoes,68.29
12,Deadskins,77.84,Team Carlin,70.41
13,Deadskins,57.98,The Cheats,73.44
1,Kellen Knievel,49.18,Football Yankees,83.19
4,Kellen Knievel,64.15,Bootleg 4 Live Draft,35.27
5,Kellen Knievel,77.74,Rurumon,47.11
6,Kellen Knievel,67.21,Iggles,53.01
7,Kellen Knievel,99.47,blitzburgh steelers,71.81
8,Kellen Knievel,51.19,1-800-You-Wish,78.65
9,Kellen Knievel,62.48,imdrunkrightnow,87.14
10,Kellen Knievel,72.28,Dancing Gorillas,90.07
11,Kellen Knievel,85.23,Ice Men,72.1
12,Kellen Knievel,45.59,Joe's Cameltoes,38.39
13,Kellen Knievel,93.01,Team Carlin,71.48
14,Kellen Knievel,72.11,imdrunkrightnow,80.07
15,Kellen Knievel,78.23,The Cheats,86.69
16,Kellen Knievel,99.78,1-800-You-Wish,60.67
1,Rurumon,58.49,Corner Meal Plan,87.07
2,Rurumon,76.06,Football Yankees,55.58
